hyp_id,name,status,final_score,pf_3y,cagr_3y,dd_3y,trades_3y,pf_1y
H048,Weekend Gap Close,FAIL,0.0,0,0,0,0,0
H074,Dump Panic Capitulation,FAIL,0.0,0,0,0,0,0
