total_events,win_rate,profit_factor,avg_return,sharpe_ratio,max_drawdown,cagr,daily_frequency,id,name
138,0.5,0.764977540848507,-0.0020560365241491033,-1.1361772282985183,0.3578947744792038,-0.29745610489190133,0.4,H001,Asian Morning Pump Fade
698,0.40830945558739257,0.5320077380858754,-0.0010144297311127687,-4.997713710964745,0.7637891581614776,-0.728182558800992,2.0231884057971015,H006,Weekend Low Volatility
8156,0.3973761647866601,0.5662173532719786,-0.00012260892333033755,-16.050202510913373,0.9999988197012396,-0.9999992514715286,23.640579710144927,H009,RSI Bullish Divergence
590,0.35423728813559324,0.4248161530419723,-0.001447520852698729,-6.438960002104198,0.8540373030922501,-0.8694454136894397,1.710144927536232,H010,RSI Bearish Divergence
1236,0.3794498381877023,0.5530633925305922,-0.0007520632454661601,-5.6312871379966065,0.9296072247072704,-0.9395925682051046,3.582608695652174,H011,Bollinger Band Squeeze
5182,0.4174064067927441,0.7441595059660442,-0.00019295613002036092,-7.441297693644813,0.9999062893616648,-0.9999405426121573,15.020289855072464,H012,MACD Cross Momentum
14159,0.39529627798573347,0.8281993184194155,-7.062645667066883e-05,-14.883965553234692,1.0,-1.0,41.040579710144925,H013,EMA Ribbon Trend
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H014,Parabolic SAR Reversal
395,0.4531645569620253,0.5918425370825179,-0.0017730950410320082,-3.1816386294173764,0.7063065111142004,-0.7205922063446448,1.144927536231884,H016,Volume Spike Reversal
9267,0.4037984245171037,0.7179848168378401,-0.0001079097400116911,-11.512056032164232,0.9999995731481841,-0.9999998119653809,26.860869565217392,H021,Engulfing Candle
2140,0.3102803738317757,0.3615720313308201,-0.0004606723318132242,-13.171882850421797,0.9858676804710096,-0.9889358571884379,6.202898550724638,H022,Hammer/Shooting Star
6047,0.3988754754423681,0.6079461832989522,-0.0001653622130574008,-9.021345007138384,0.9999591689261509,-0.9999690333432811,17.527536231884056,H023,Inside Bar Breakout
4521,0.31032957310329573,0.3962632354662896,-0.00022114151732960044,-16.497766198453014,0.9998365465442084,-0.999865502043864,13.104347826086956,H024,Three White Soldiers
13418,0.2984051274407512,0.454261251949858,-7.452675510028236e-05,-30.201275602896477,0.9999999999355887,-0.9999999999834737,38.892753623188405,H041,Opening Range Breakout
175,0.4514285714285714,0.8066926773597403,-0.0005237184084633294,-1.0023087596598002,0.17064364676783034,-0.09669845630219542,0.5072463768115942,H042,Power Hour Reversal
143,0.45454545454545453,0.5010400836726112,-0.001908254299327743,-3.0266815707389134,0.2788472232649663,-0.2861893479505454,0.4144927536231884,H044,London Open Fade
331,0.40181268882175225,0.5371494560049751,-0.0017583093265451614,-4.015462306159856,0.5903994329927095,-0.6026117140332089,0.9594202898550724,H045,NY Lunch Lull
36,0.6111111111111112,1.3316499351312538,0.0007825357886074029,0.6626534795911581,0.02628136686669478,0.029828531225936983,0.10434782608695652,H048,Weekend Gap Close
649,0.4745762711864407,0.5860891055804258,-0.001326860703736621,-3.9794919821683585,0.8650088514871075,-0.8761500073980555,1.8811594202898552,H051,BTC Dominance Mean Rev
39,0.4358974358974359,0.5777611982641029,-0.002582686289886408,-1.3666702295361988,0.10072476530556992,-0.1062424106314217,0.11304347826086956,H052,Altcoin/BTC Pair Lag
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H053,Perp vs Spot Premium
5333,0.3478342396399775,0.4839629336717058,-0.00018750400423802975,-18.96295571582913,0.999959438059099,-0.9999770871543878,15.457971014492754,H061,RSI(5) Extreme Reversal
1501,0.37841439040639574,0.6595040661456049,-0.0006037997595456625,-4.522658533952016,0.9192968364810457,-0.9183204328682381,4.350724637681159,H062,"BB(20,2) M1 Squeeze"
5795,0.3171699741156169,0.5035423853479752,-0.00017255315408811083,-19.39848942947779,0.9999455279406023,-0.9999691684425205,16.797101449275363,H063,Wick Hunting M5
6594,0.31710646041856233,0.46890423089667027,-0.00015164994109566156,-22.801154766762092,0.9999805759044854,-0.9999891556247477,19.11304347826087,H071,Round Number Magnet
14,0.35714285714285715,0.42062490989385537,-0.009017581584027068,-1.1379729865581647,0.1669604087444729,-0.1330553451553389,0.04057971014492753,H073,FOMO Pump Exhaustion
2,1.0,999.0,0.016896819230715666,1.4517937300250405,0.0,0.03578734500264691,0.005797101449275362,H074,Dump Panic Capitulation
10,0.6,2.109909338341003,0.007071936883964418,0.9584152499598417,0.023293053775708835,0.07496911575509269,0.028985507246376812,H075,Weekend Boredom Pump
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H092,DXY/BTC Inverse Spike
