date,equity_open,equity_close,pnl_abs,pnl_pct,max_dd_pct,trades,winrate
2025-09-09,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-09-10,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-09-11,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-09-12,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-09-13,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-09-14,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-09-15,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-09-16,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-09-17,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-09-18,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-09-19,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-09-20,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-09-21,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-09-22,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-09-23,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-09-24,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-09-25,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-09-26,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-09-27,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-09-28,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-09-29,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-09-30,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-10-01,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-10-02,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-10-03,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-10-04,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-10-05,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-10-06,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-10-07,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-10-08,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-10-09,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-10-10,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-10-11,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-10-12,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-10-13,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-10-14,200.00,200.00,0.00,0.00,0.00,0,0.0
2025-10-15,200.00,203.66,3.66,1.83,0.00,1,100.0
2025-10-16,203.66,200.73,-2.93,-1.44,-2.29,5,40.0
2025-10-17,200.73,200.73,0.00,0.00,0.00,0,0.0
2025-10-18,200.73,200.73,0.00,0.00,0.00,0,0.0
2025-10-19,200.73,204.26,3.53,1.76,-0.44,1,100.0
2025-10-20,204.26,204.26,0.00,0.00,0.00,0,0.0
2025-10-21,204.26,204.22,-0.04,-0.02,-0.90,1,100.0
2025-10-22,204.22,204.22,0.00,0.00,0.00,0,0.0
2025-10-23,204.22,204.22,0.00,0.00,0.00,0,0.0
2025-10-24,204.22,204.22,0.00,0.00,0.00,0,0.0
2025-10-25,204.22,202.08,-2.13,-1.04,-1.04,1,0.0
2025-10-26,202.08,202.08,0.00,0.00,0.00,0,0.0
2025-10-27,202.08,202.08,0.00,0.00,0.00,0,0.0
2025-10-28,202.08,202.08,0.00,0.00,0.00,0,0.0
2025-10-29,202.08,202.08,0.00,0.00,0.00,0,0.0
2025-10-30,202.08,202.08,0.00,0.00,0.00,0,0.0
2025-10-31,202.08,202.08,0.00,0.00,0.00,0,0.0
2025-11-01,202.08,202.08,0.00,0.00,0.00,0,0.0
2025-11-02,202.08,202.08,0.00,0.00,0.00,0,0.0
2025-11-03,202.08,202.08,0.00,0.00,0.00,0,0.0
2025-11-04,202.08,202.08,0.00,0.00,0.00,0,0.0
2025-11-05,202.08,202.08,0.00,0.00,0.00,0,0.0
2025-11-06,202.08,202.08,0.00,0.00,0.00,0,0.0
2025-11-07,202.08,202.08,0.00,0.00,0.00,0,0.0
2025-11-08,202.08,202.08,0.00,0.00,0.00,0,0.0
2025-11-09,202.08,200.09,-2.00,-0.99,-1.37,1,0.0
2025-11-10,200.09,200.09,0.00,0.00,0.00,0,0.0
2025-11-11,200.09,197.94,-2.15,-1.07,-1.07,1,0.0
2025-11-12,197.94,200.54,2.60,1.31,-2.22,5,60.0
2025-11-13,200.54,200.54,0.00,0.00,0.00,0,0.0
2025-11-14,200.54,201.91,1.37,0.68,-1.09,2,50.0
2025-11-15,201.91,199.81,-2.10,-1.04,-1.53,1,0.0
2025-11-16,199.81,199.81,0.00,0.00,0.00,0,0.0
2025-11-17,199.81,197.68,-2.13,-1.07,-1.18,1,0.0
2025-11-18,197.68,195.59,-2.09,-1.06,-1.06,1,0.0
2025-11-19,195.59,197.00,1.42,0.72,-1.35,2,50.0
